9.267132216394602384e-01,1.128033572738514678e+00,1.054897283468686497e+00,9.712196970786463046e-01,9.734020430636861620e-01,8.992849614452494977e-01,9.784985970992247095e-01,9.775160128947171234e-01,1.026022006500390216e+00,1.025810779278685470e+00,1.022189296303603001e+00,1.024537007345682538e+00,9.798947147277802250e-01,1.482714501192771595e+00,9.236383332609778840e-01,1.365340255038715034e+00,1.406214252843603241e+00,9.354008803244238113e-01,1.020367963191404215e+00
9.521813342525382584e-01,9.378546055417642524e-01,1.018681528966533412e+00,9.364918413182290458e-01,9.654408608071778364e-01,9.389949249644523599e-01,9.315321047840129376e-01,9.004630839651857066e-01,9.338510507836732533e-01,9.455128016483448361e-01,1.002982310817771117e+00,9.924459786334197675e-01,9.815022207031546264e-01,9.731150288851435626e-01,9.431179341554432050e-01,9.251882635222926643e-01,9.293412047425106959e-01,9.347268267604073033e-01,9.722026193739999878e-01
8.813324738269782133e-01,8.994299007421734382e-01,8.907273222542156921e-01,8.588816073716423194e-01,1.232154685851814202e+00,1.249627564083800602e+00,8.932912460527796528e-01,8.827633919057773504e-01,9.420982482067973285e-01,8.855918430894698101e-01,8.623326265752843112e-01,8.614294350154745317e-01,1.243521325002082678e+00,1.184847208517219475e+00,1.120504406323211244e+00,1.120423275908149163e+00,1.138860942401837439e+00,8.351702606058342138e-01,8.840796099342729253e-01
9.042314275001372970e-01,8.740390297058430180e-01,8.853468415383775048e-01,8.812593095175902391e-01,8.692924814959333002e-01,8.660977831651647252e-01,8.837890756565304207e-01,8.761790465540241213e-01,8.763003318239206418e-01,9.027739415299953496e-01,8.985363600130118478e-01,9.045703466307263296e-01,9.147607907838625207e-01,9.086198361604318485e-01,8.737346098863268962e-01,8.513202406324296145e-01,8.517421734956019952e-01,8.718509184705935944e-01,8.893302440632480099e-01
1.172759033123907946e+00,1.003291291379934558e+00,9.535180274980278314e-01,9.617474419279986586e-01,1.157965603810571453e+00,1.048077772814133057e+00,9.988764520442789951e-01,8.981637996604544538e-01,1.002807355299901282e+00,8.131247821610371185e-01,9.792124144220909487e-01,1.213873074422128662e+00,1.202751530316955808e+00,1.141400508447344864e+00,1.084850065555054588e+00,9.806935172485617969e-01,1.014139692110664459e+00,9.843302996270015814e-01,9.591952190733420425e-01
1.075490997183072617e+00,1.225462391988568545e+00,9.292432100327087108e-01,1.039312598580170111e+00,1.094419754424818203e+00,1.012990679414046857e+00,1.115979214161290534e+00,1.301900715370744699e+00,7.369160389367446218e-01,1.116897467954367951e+00,8.677036144248910787e-01,1.227231778104137971e+00,9.517549974872808738e-01,1.026283703078252341e+00,9.950419213715975264e-01,9.964248262684788360e-01,9.628014451574208321e-01,1.023508502405418019e+00,1.012232817303897470e+00
1.052784216972525222e+00,9.150236536595180992e-01,8.873296098513848706e-01,1.076966088012420331e+00,6.857890015998411304e-01,6.627013615868327934e-01,7.513114743767130843e-01,8.201729383422795561e-01,9.484454989992554541e-01,1.020354841272363977e+00,1.044694641987533812e+00,8.694339616348862876e-01,9.206689521418504052e-01,6.933331435170804191e-01,9.120494110086841966e-01,8.294344337744563589e-01,1.041033000782439988e+00,9.564999289612816646e-01,9.020000908919439953e-01
1.170243623717007964e+00,1.072227814067167051e+00,1.021705577598290837e+00,9.381448334001554201e-01,9.530512257801094789e-01,1.026724467445072619e+00,1.058566092897263555e+00,1.091564660296418410e+00,1.121849057789306991e+00,8.304825629386821673e-01,1.235378057123617479e+00,1.154349317441808687e+00,9.126398080912547783e-01,9.345450080730586251e-01,8.650766748684404206e-01,9.160494016455043020e-01,9.612941178323084479e-01,9.488782101176721495e-01,9.828792200866973694e-01
9.721473907287025984e-01,1.122957821065825978e+00,1.012110441962313923e+00,1.092735993825043384e+00,9.144303223883654130e-01,9.461068186023280369e-01,9.619988243568026176e-01,8.536083645170878809e-01,1.054727389842732954e+00,9.987453055060077078e-01,1.013966422081975516e+00,9.762241115485190690e-01,9.362626155810265249e-01,1.042386424282989665e+00,9.290013886920149844e-01,8.881013790058904789e-01,9.244935120774878667e-01,1.015004997204625559e+00,9.692920730989040834e-01
1.166852692020028170e+00,1.207801798361660683e+00,1.183881212894637658e+00,1.196739680711943921e+00,1.175972763745797955e+00,1.145118088853246174e+00,1.181829169107843303e+00,1.159659894207125008e+00,1.173768047745298970e+00,1.005517297604673788e+00,1.161107398214971997e+00,1.180614437269901673e+00,1.198285488867316451e+00,1.204035273724507693e+00,1.119183871697156052e+00,1.575439314537393720e+00,1.543299110573232324e+00,1.556463596898443935e+00,1.688796732709326953e+00
9.399620350404535030e-01,8.574958231523810426e-01,8.831596405076248546e-01,8.482692724384593985e-01,9.331367981322915561e-01,9.595526975823991389e-01,9.146455909873681955e-01,9.275169403325306261e-01,8.806418089805734262e-01,8.058872944924113657e-01,8.811390334544417779e-01,8.829456350593030134e-01,8.820030961081071208e-01,1.034948562792735727e+00,8.791043322622305034e-01,9.477160269815729787e-01,8.656507098162240510e-01,9.231363375804573224e-01,1.064867779306801765e+00
1.168296318241039078e+00,1.084429851059951266e+00,9.591178959572886908e-01,9.095753073507919506e-01,9.235769980903689724e-01,1.012232253342554067e+00,9.984444283730672387e-01,9.392064650323922459e-01,1.103481350130272709e+00,9.876136396080437141e-01,9.949186100214013617e-01,9.361828912444196682e-01,1.010285212853217596e+00,9.281767484344667363e-01,9.111209065162597653e-01,1.029304641259589426e+00,9.687397853483115107e-01,1.046784598684013190e+00,1.013760142906129591e+00
